input,output
Yò wúpíéndǎh má ká?,What is your hobby?
Mon passe-temps c'est écouter de la musique.,Yà wúmo má làh njū' yɔ̃nshì.
My hobby is listening to music.,Yà wúmo má làh njū' yɔ̃nshì.
Yà wúmo má làh njū' yɔ̃nshì.,Mon passe-temps c'est écouter de la musique.
Yà wúmo má làh njū' yɔ̃nshì.,My hobby is listening to music.
J'aime courir; j'aime la course à pied.,Ngăn nkwé' làh nkhoándūā; ngă kwě' nkhăndúa nkhù.
I love to run; I like running/jogging.,Ngăn nkwé' làh nkhoándūā; ngă kwě' nkhăndúa nkhù.
Ngăn nkwé' làh nkhoándūā; ngă kwě' nkhăndúa nkhù.,J'aime courir; j'aime la course à pied.
Ngăn nkwé' làh nkhoándūā; ngă kwě' nkhăndúa nkhù.,I love to run; I like running/jogging.
Je n'ai aucun loisir/hobby.,N ka' ghú sǝǝ wúpíéndàh.
I have no leisure/hobby.,N ka' ghú sǝǝ wúpíéndàh.
N ka' ghú sǝǝ wúpíéndàh.,Je n'ai aucun loisir/hobby.
N ka' ghú sǝǝ wúpíéndàh.,I have no leisure/hobby.
Aimes-tu danser?,Ŏ kwě' làh nzenshì í?
Do you like to dance?,Ŏ kwě' làh nzenshì í?
Ŏ kwě' làh nzenshì í?,Aimes-tu danser?
Ŏ kwě' làh nzenshì í?,Do you like to dance?
Aimes-tu écouter de la musique ?,Ŏ nká' làh nju' yɔ̃nshì í?
Do you like listening to music?,Ŏ nká' làh nju' yɔ̃nshì í?
Ŏ nká' làh nju' yɔ̃nshì í?,Aimes-tu écouter de la musique ?
Ŏ nká' làh nju' yɔ̃nshì í?,Do you like listening to music?
Aimes-tu la lecture?,Ŏ kwě' céhwū ú?
Do you like reading?,Ŏ kwě' céhwū ú?
Ŏ kwě' céhwū ú?,Aimes-tu la lecture?
Ŏ kwě' céhwū ú?,Do you like reading?
Aimes-tu la nage/natation?,Ŏ kǎ' náhnshì í?
Do you like swimming?,Ŏ kǎ' náhnshì í?
Ŏ kǎ' náhnshì í?,Aimes-tu la nage/natation?
Ŏ kǎ' náhnshì í?,Do you like swimming?
Aimes-tu nager?,Ŏ nkwé' lah nnähnshì í?
Do you like to swim?,Ŏ nkwé' lah nnähnshì í?
Ŏ nkwé' lah nnähnshì í?,Aimes-tu nager?
Ŏ nkwé' lah nnähnshì í?,Do you like to swim?
Je n'aime pas la nage.,N ka' kwé náhnshì (bā).
I do not like swimming.,N ka' kwé náhnshì (bā).
N ka' kwé náhnshì (bā).,Je n'aime pas la nage.
N ka' kwé náhnshì (bā).,I do not like swimming.
"Oui, j'aime la nage, mais je ne sais pas nager.","Пh! Ngǎ kwě náhnshì, tá' àì kà' zhi làh nnähnshì."
"Yes, I love to swim, but I cannot","Пh! Ngǎ kwě náhnshì, tá' àì kà' zhi làh nnähnshì."
"Пh! Ngǎ kwě náhnshì, tá' àì kà' zhi làh nnähnshì.","Oui, j'aime la nage, mais je ne sais pas nager."
"Пh! Ngǎ kwě náhnshì, tá' àì kà' zhi làh nnähnshì.","Yes, I love to swim, but I cannot"
Aimes-tu le sport?,Ŏ kwĕ' suämfù'nã á?
Do you like sports?,Ŏ kwĕ' suämfù'nã á?
Ŏ kwĕ' suämfù'nã á?,Aimes-tu le sport?
Ŏ kwĕ' suämfù'nã á?,Do you like sports?
J'aime tellement le sport.,Ngă kwě sùāmf 'nā tà mbúa là bã.
I like sports a lot.,Ngă kwě sùāmf 'nā tà mbúa là bã.
Ngă kwě sùāmf 'nā tà mbúa là bã.,J'aime tellement le sport.
Ngă kwě sùāmf 'nā tà mbúa là bã.,I like sports a lot.
Aimes-tu les enfants?,Ŏ kwĕ' punkhūā á?
Do you like children?,Ŏ kwĕ' punkhūā á?
Ŏ kwĕ' punkhūā á?,Aimes-tu les enfants?
Ŏ kwĕ' punkhūā á?,Do you like children?
Aimes-tu les vacances ?,Ŏ kwĕ' ntìè' ē hwiesì í?
Do you like holidays?,Ŏ kwĕ' ntìè' ē hwiesì í?
Ŏ kwĕ' ntìè' ē hwiesì í?,Aimes-tu les vacances ?
Ŏ kwĕ' ntìè' ē hwiesì í?,Do you like holidays?
"Non, je suis un accro au travail.","Ngǎ', ngă má mfa'ndiēkò."
"No, I am a workaholic.","Ngǎ', ngă má mfa'ndiēkò."
"Ngǎ', ngă má mfa'ndiēkò.","Non, je suis un accro au travail."
"Ngǎ', ngă má mfa'ndiēkò.","No, I am a workaholic."
Quel genre de musique aimes-tu ?,Yaa ntie yǎnshì tá ó nkwé' ē?
What kind of music do you like?,Yaa ntie yǎnshì tá ó nkwé' ē?
Yaa ntie yǎnshì tá ó nkwé' ē?,Quel genre de musique aimes-tu ?
Yaa ntie yǎnshì tá ó nkwé' ē?,What kind of music do you like?
J'aime le Madjong-Lali.,Ngă kwě' Mânjwè'-Lāli.
I like Madjong- Lali.,Ngă kwě' Mânjwè'-Lāli.
Ngă kwě' Mânjwè'-Lāli.,J'aime le Madjong-Lali.
Ngă kwě' Mânjwè'-Lāli.,I like Madjong- Lali.
Quel est ton chanteur préféré ?,Yaa njɔ̃nshì tá ó nkwé' nshúá zìmó' ō ?
Who is your favorite singer?,Yaa njɔ̃nshì tá ó nkwé' nshúá zìmó' ō ?
Yaa njɔ̃nshì tá ó nkwé' nshúá zìmó' ō ?,Quel est ton chanteur préféré ?
Yaa njɔ̃nshì tá ó nkwé' nshúá zìmó' ō ?,Who is your favorite singer?
Préférer.,Nkwé' nshúá (mò').
To prefer.,Nkwé' nshúá (mò').
Nkwé' nshúá (mò').,Préférer.
Nkwé' nshúá (mò').,To prefer.
Quel est ton repas préféré ?,Yàā ntie wúza tá ó nkwé' nshúá zìmó' ō?
What is your favorite meal?,Yàā ntie wúza tá ó nkwé' nshúá zìmó' ō?
Yàā ntie wúza tá ó nkwé' nshúá zìmó' ō?,Quel est ton repas préféré ?
Yàā ntie wúza tá ó nkwé' nshúá zìmó' ō?,What is your favorite meal?
Quelle est ta profession?,Yò túmfǎ' má ká?
What is your profession?,Yò túmfǎ' má ká?
Yò túmfǎ' má ká?,Quelle est ta profession?
Yò túmfǎ' má ká?,What is your profession?
Je suis étudiant informatique.,Ngăn má ngànwàni nó zhínüsāhndó'.
I am studying computer science.,Ngăn má ngànwàni nó zhínüsāhndó'.
Ngăn má ngànwàni nó zhínüsāhndó'.,Je suis étudiant informatique.
Ngăn má ngànwàni nó zhínüsāhndó'.,I am studying computer science.
Je suis un chercheur.,Ngă má ta' ncâkngà'.
I am a researcher.,Ngă má ta' ncâkngà'.
Ngă má ta' ncâkngà'.,Je suis un chercheur.
Ngă má ta' ncâkngà'.,I am a researcher.
Sais-tu cuisiner ?,Ŏ zhí làh ndǝɔ̃/nä' wúză á ?
Do you cook? Can you cook?,Ŏ zhí làh ndǝɔ̃/nä' wúză á ?
Ŏ zhí làh ndǝɔ̃/nä' wúză á ?,Sais-tu cuisiner ?
Ŏ zhí làh ndǝɔ̃/nä' wúză á ?,Do you cook? Can you cook?
Je ne suis pas une femme.,N si má mùnzhwie bā.
I am not a,N si má mùnzhwie bā.
N si má mùnzhwie bā.,Je ne suis pas une femme.
N si má mùnzhwie bā.,I am not a
Chez nous ce sont les femmes qui cuisinent.,Yáá mbā wú pàh pǎnzhwiẽ bā māndāɔ̃ wúzā.
"In our home, it is women who cook.",Yáá mbā wú pàh pǎnzhwiẽ bā māndāɔ̃ wúzā.
Yáá mbā wú pàh pǎnzhwiẽ bā māndāɔ̃ wúzā.,Chez nous ce sont les femmes qui cuisinent.
Yáá mbā wú pàh pǎnzhwiẽ bā māndāɔ̃ wúzā.,"In our home, it is women who cook."
"Oui, je sais cuisiner.",Пh ngă zhí làh ndāɔ̃/nā' wúzā.
"Yes, I know how to cook.",Пh ngă zhí làh ndāɔ̃/nā' wúzā.
Пh ngă zhí làh ndāɔ̃/nā' wúzā.,"Oui, je sais cuisiner."
Пh ngă zhí làh ndāɔ̃/nā' wúzā.,"Yes, I know how to cook."
Quel genre de plat sais-tu cuisiner ?,Yàā ntie wúzā tá ó zhi làh ndɔ̃ɔ̃ 5 ?
What kind of food do you cook?,Yàā ntie wúzā tá ó zhi làh ndɔ̃ɔ̃ 5 ?
Yàā ntie wúzā tá ó zhi làh ndɔ̃ɔ̃ 5 ?,Quel genre de plat sais-tu cuisiner ?
Yàā ntie wúzā tá ó zhi làh ndɔ̃ɔ̃ 5 ?,What kind of food do you cook?
Sais-tu conduire ?,Ŏ zhí làh mfák ndu' ú?
Can you drive?,Ŏ zhí làh mfák ndu' ú?
Ŏ zhí làh mfák ndu' ú?,Sais-tu conduire ?
Ŏ zhí làh mfák ndu' ú?,Can you drive?
Ton père a une voiture ?,Mba' é ghǎ ndu' ú?
Does your father have a car?,Mba' é ghǎ ndu' ú?
Mba' é ghǎ ndu' ú?,Ton père a une voiture ?
Mba' é ghǎ ndu' ú?,Does your father have a car?
Mon père n'aime pas la voiture.,Mba' ō si' nkwé' ndu' bā.
My father doesn't like car.,Mba' ō si' nkwé' ndu' bā.
Mba' ō si' nkwé' ndu' bā.,Mon père n'aime pas la voiture.
Mba' ō si' nkwé' ndu' bā.,My father doesn't like car.
"Mon père est un pauvre, par conséquent, il n'a pas la voiture.","Mba' ó má ngà'mbōk, fà'á lá, à kà' ghú ndu' bā."
"My father is poor, therefore, he doesn't have a car.","Mba' ó má ngà'mbōk, fà'á lá, à kà' ghú ndu' bā."
"Mba' ó má ngà'mbōk, fà'á lá, à kà' ghú ndu' bā.","Mon père est un pauvre, par conséquent, il n'a pas la voiture."
"Mba' ó má ngà'mbōk, fà'á lá, à kà' ghú ndu' bā.","My father is poor, therefore, he doesn't have a car."
Y a-t-il des souris chez vous?,Cwǎkhŭ mba mbèé pěn ?
Do you,Cwǎkhŭ mba mbèé pěn ?
Cwǎkhŭ mba mbèé pěn ?,Y a-t-il des souris chez vous?
Cwǎkhŭ mba mbèé pěn ?,Do you
"La nuit tombe déjà, il faut que je parte.",Njăm ya' mängwá. Yáá ncāk má ń nshùà/ngènà!
"It is getting dark, I must go.",Njăm ya' mängwá. Yáá ncāk má ń nshùà/ngènà!
Njăm ya' mängwá. Yáá ncāk má ń nshùà/ngènà!,"La nuit tombe déjà, il faut que je parte."
Njăm ya' mängwá. Yáá ncāk má ń nshùà/ngènà!,"It is getting dark, I must go."
"Il n'y a pas de problème mon frère/ma sœur, au revoir.","Ncà' si wū bā mēmmā ò, ôhó."
"No problem my brother/sister, goodbye.","Ncà' si wū bā mēmmā ò, ôhó."
"Ncà' si wū bā mēmmā ò, ôhó.","Il n'y a pas de problème mon frère/ma sœur, au revoir."
"Ncà' si wū bā mēmmā ò, ôhó.","No problem my brother/sister, goodbye."
Bienvenue !,Să' papē'/mbǝpā'! Sà' mbāā!
Welcome!,Să' papē'/mbǝpā'! Sà' mbāā!
Să' papē'/mbǝpā'! Sà' mbāā!,Bienvenue !
Să' papē'/mbǝpā'! Sà' mbāā!,Welcome!
"Merci mon frère, ma sœur.",Ngă pén ō mẽmmā ò!
"Thank you, my brother, my sister.",Ngă pén ō mẽmmā ò!
Ngă pén ō mẽmmā ò!,"Merci mon frère, ma sœur."
Ngă pén ō mẽmmā ò!,"Thank you, my brother, my sister."
Bienvenue mon père !,Sǎ' mbǝpā' lá mbā' ō !
Welcome my father!,Sǎ' mbǝpā' lá mbā' ō !
Sǎ' mbǝpā' lá mbā' ō !,Bienvenue mon père !
Sǎ' mbǝpā' lá mbā' ō !,Welcome my father!
Bienvenue maman!,Sà' mbǝǝ lá mā!
Welcome mommy!,Sà' mbǝǝ lá mā!
Sà' mbǝǝ lá mā!,Bienvenue maman!
Sà' mbǝǝ lá mā!,Welcome mommy!
Merci mon enfant.,Ngă pén ō men à !
"Thank you, my child.",Ngă pén ō men à !
Ngă pén ō men à !,Merci mon enfant.
Ngă pén ō men à !,"Thank you, my child."
Soyez les bienvenus ! (A plusieurs personnes),Pèn sá' pèpe'! Pèn sá' mbāā!
Welcome! (To many people).,Pèn sá' pèpe'! Pèn sá' mbāā!
Pèn sá' pèpe'! Pèn sá' mbāā!,Soyez les bienvenus ! (A plusieurs personnes)
Pèn sá' pèpe'! Pèn sá' mbāā!,Welcome! (To many people).
Bonjour !,Nzá lee è ?
Good morning!,Nzá lee è ?
Nzá lee è ?,Bonjour !
Nzá lee è ?,Good morning!
Bonjour ! (Réponse au bonjour),Yáá lēē zi. Ă léé yi.
Good,Yáá lēē zi. Ă léé yi.
Yáá lēē zi. Ă léé yi.,Bonjour ! (Réponse au bonjour)
Yáá lēē zi. Ă léé yi.,Good
Bonjour à toi!,Nzá lēẽ mbú ò? Yò nzá lēē è ?
Good morning to you!,Nzá lēẽ mbú ò? Yò nzá lēē è ?
Nzá lēẽ mbú ò? Yò nzá lēē è ?,Bonjour à toi!
Nzá lēẽ mbú ò? Yò nzá lēē è ?,Good morning to you!
Bonjour à tous !,Nzá lēē mbí pèn ? Yèè nzá lẽë è ?
"Good morning, everyone!",Nzá lēē mbí pèn ? Yèè nzá lẽë è ?
Nzá lēē mbí pèn ? Yèè nzá lẽë è ?,Bonjour à tous !
Nzá lēē mbí pèn ? Yèè nzá lẽë è ?,"Good morning, everyone!"
Bonjour ! (Réponse au bonjour quand plusieurs personnes répondent.),Yáá lēē zi. ǎ léé yi. Yòh nzá lēē.
Good morning! (Answer to good morning when many people reply.),Yáá lēē zi. ǎ léé yi. Yòh nzá lēē.
Yáá lēē zi. ǎ léé yi. Yòh nzá lēē.,Bonjour ! (Réponse au bonjour quand plusieurs personnes répondent.)
Yáá lēē zi. ǎ léé yi. Yòh nzá lēē.,Good morning! (Answer to good morning when many people reply.)
Bonjour ma femme.,Nzá lēē è nzhwie à ?
Good morning my wife.,Nzá lēē è nzhwie à ?
Nzá lēē è nzhwie à ?,Bonjour ma femme.
Nzá lēē è nzhwie à ?,Good morning my wife.
Bonjour mon mari. (Réponse au bonjour. Une femme à son mari.),Yáá lēē zi ndū à.
Good morning my husband. (Answer to good morning. A wife to her husband.),Yáá lēē zi ndū à.
Yáá lēē zi ndū à.,Bonjour mon mari. (Réponse au bonjour. Une femme à son mari.)
Yáá lēē zi ndū à.,Good morning my husband. (Answer to good morning. A wife to her husband.)
Bonjour mes frères et sœurs.,Nzá lēē è póómā ō?
Good morning my brothers and sisters.,Nzá lēē è póómā ō?
Nzá lēē è póómā ō?,Bonjour mes frères et sœurs.
Nzá lēē è póómā ō?,Good morning my brothers and sisters.
Bonjour mon ami.,Nzá lēē è sen à ?
Good morning my friend.,Nzá lēē è sen à ?
Nzá lēē è sen à ?,Bonjour mon ami.
Nzá lēē è sen à ?,Good morning my friend.
Salut!,Mbɔ̃a lá!
"Hello, hi!",Mbɔ̃a lá!
Mbɔ̃a lá!,Salut!
Mbɔ̃a lá!,"Hello, hi!"
"Salut mon frère, ma sœur !",Mbǝǝ lá mẽmmā ò!
"Hello, my brother, my sister!",Mbǝǝ lá mẽmmā ò!
Mbǝǝ lá mẽmmā ò!,"Salut mon frère, ma sœur !"
Mbǝǝ lá mẽmmā ò!,"Hello, my brother, my sister!"
Salut mes frères.,Pèn pāɔ̃ lá póómā!
Hello my brothers.,Pèn pāɔ̃ lá póómā!
Pèn pāɔ̃ lá póómā!,Salut mes frères.
Pèn pāɔ̃ lá póómā!,Hello my brothers.
Salut ma grand-mère.,Mbɔ̃ɔ̃ lá măvŏ ndāmà!
Hello my grandmother.,Mbɔ̃ɔ̃ lá măvŏ ndāmà!
Mbɔ̃ɔ̃ lá măvŏ ndāmà!,Salut ma grand-mère.
Mbɔ̃ɔ̃ lá măvŏ ndāmà!,Hello my grandmother.
Je te salue.,Ngă cà'sì ô lá !
I greet you.,Ngă cà'sì ô lá !
Ngă cà'sì ô lá !,Je te salue.
Ngă cà'sì ô lá !,I greet you.
Je te salue aussi.,Mbà mà ngã cà'sì ī lá !
I greet you too.,Mbà mà ngã cà'sì ī lá !
Mbà mà ngã cà'sì ī lá !,Je te salue aussi.
Mbà mà ngã cà'sì ī lá !,I greet you too.
"Je te salue, mon aîné(e).",Ngăn cà'sì ô lá ngà'mbhi à.
"I greet you, my elder.",Ngăn cà'sì ô lá ngà'mbhi à.
Ngăn cà'sì ô lá ngà'mbhi à.,"Je te salue, mon aîné(e)."
Ngăn cà'sì ô lá ngà'mbhi à.,"I greet you, my elder."
Je vous salue mes mamans!,Ngă cà'sì yēē lá pàmă pă !
"I salute you, my mothers!",Ngă cà'sì yēē lá pàmă pă !
Ngă cà'sì yēē lá pàmă pă !,Je vous salue mes mamans!
Ngă cà'sì yēē lá pàmă pă !,"I salute you, my mothers!"
Quoi de neuf ? Litt. quelles sont les nouvelles ?,Cwè'/cǝ' má ká?
What's up?,Cwè'/cǝ' má ká?
Cwè'/cǝ' má ká?,Quoi de neuf ? Litt. quelles sont les nouvelles ?
Cwè'/cǝ' má ká?,What's up?
Rien de neuf. Tout est vieux; litt. les nouvelles se sont refroidies.,Cwě'/cǎ' hwíé/shwíé
Nothing much.,Cwě'/cǎ' hwíé/shwíé
Cwě'/cǎ' hwíé/shwíé,Rien de neuf. Tout est vieux; litt. les nouvelles se sont refroidies.
Cwě'/cǎ' hwíé/shwíé,Nothing much.
Tout le monde va bien à la maison.,Cwè'/cò' mbèé hwíé/shwíé.
Nothing much with the family.,Cwè'/cò' mbèé hwíé/shwíé.
Cwè'/cò' mbèé hwíé/shwíé.,Tout le monde va bien à la maison.
Cwè'/cò' mbèé hwíé/shwíé.,Nothing much with the family.
"A toi aussi mon frère, ma sœur.",Mbă mbú ó yŏ lá mẽmmā ò.
Same to you my brother/sister.,Mbă mbú ó yŏ lá mẽmmā ò.
Mbă mbú ó yŏ lá mẽmmā ò.,"A toi aussi mon frère, ma sœur."
Mbă mbú ó yŏ lá mẽmmā ò.,Same to you my brother/sister.
"Bonne soirée à toi mon frère, ma sœur.",Mbè'mbè' mbūànzá mbú ó lá mẽmmā ò.
Good evening to you my brother/sister.,Mbè'mbè' mbūànzá mbú ó lá mẽmmā ò.
Mbè'mbè' mbūànzá mbú ó lá mẽmmā ò.,"Bonne soirée à toi mon frère, ma sœur."
Mbè'mbè' mbūànzá mbú ó lá mẽmmā ò.,Good evening to you my brother/sister.
Bonne nuit !,Die papē'/mbǝpā'!
Good night!,Die papē'/mbǝpā'!
Die papē'/mbǝpā'!,Bonne nuit !
Die papē'/mbǝpā'!,Good night!
Bonsoir!,Ŏ váh yō ò? Mbè'mbè' mbūànzā lá.
Good evening!,Ŏ váh yō ò? Mbè'mbè' mbūànzā lá.
Ŏ váh yō ò? Mbè'mbè' mbūànzā lá.,Bonsoir!
Ŏ váh yō ò? Mbè'mbè' mbūànzā lá.,Good evening!
Bonsoir maman!,Ŏ váh yō ò mā? Mbè'mbè' mbūànzā lá mā.
Good evening mother!,Ŏ váh yō ò mā? Mbè'mbè' mbūànzā lá mā.
Ŏ váh yō ò mā? Mbè'mbè' mbūànzā lá mā.,Bonsoir maman!
Ŏ váh yō ò mā? Mbè'mbè' mbūànzā lá mā.,Good evening mother!
Comment ça va ?,Yáá mà lähā ? Ŏ mà lähā?
How are you?,Yáá mà lähā ? Ŏ mà lähā?
Yáá mà lähā ? Ŏ mà lähā?,Comment ça va ?
Yáá mà lähā ? Ŏ mà lähā?,How are you?
"Ca va bien, merci.","Yáá mànnák, ngă pén ."
"I am fine, thank you.","Yáá mànnák, ngă pén ."
"Yáá mànnák, ngă pén .","Ca va bien, merci."
"Yáá mànnák, ngă pén .","I am fine, thank you."
"Je suis en santé, merci.","Ngă ntèn, ngă pén ō."
I am in good,"Ngă ntèn, ngă pén ō."
"Ngă ntèn, ngă pén ō.","Je suis en santé, merci."
"Ngă ntèn, ngă pén ō.",I am in good
Ça ne va pas.,Yǎā si mànnák bā.
I am not fine.,Yǎā si mànnák bā.
Yǎā si mànnák bā.,Ça ne va pas.
Yǎā si mànnák bā.,I am not fine.
Couci-couça [Litt. Les choses sont juste une certaine quantité].,Nň má mó' mvàk.
I am so-so [Lit. things are just to some extent].,Nň má mó' mvàk.
Nň má mó' mvàk.,Couci-couça [Litt. Les choses sont juste une certaine quantité].
Nň má mó' mvàk.,I am so-so [Lit. things are just to some extent].
Comment allez-vous ? (À plusieurs personnes),Pěn mà lāhā ?
How are you doing? (To many people),Pěn mà lāhā ?
Pěn mà lāhā ?,Comment allez-vous ? (À plusieurs personnes)
Pěn mà lāhā ?,How are you doing? (To many people)
Comment vont les enfants ?,Punkuá mà lähā?
How are the children doing?,Punkuá mà lähā?
Punkuá mà lähā?,Comment vont les enfants ?
Punkuá mà lähā?,How are the children doing?
Comment vont tes enfants?,Pōō mbỏ mà lāhā?
How are your children?,Pōō mbỏ mà lāhā?
Pōō mbỏ mà lāhā?,Comment vont tes enfants?
Pōō mbỏ mà lāhā?,How are your children?
Comment vont tes parents?,Mba' ĕ pí mã é mà lähā?
How are your parents?,Mba' ĕ pí mã é mà lähā?
Mba' ĕ pí mã é mà lähā?,Comment vont tes parents?
Mba' ĕ pí mã é mà lähā?,How are your parents?
"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. c'est aussi-là comme ça.]",Yáá yi fà'á lá.
"So-so, not too bad. [Lit. it is just there like that]",Yáá yi fà'á lá.
Yáá yi fà'á lá.,"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. c'est aussi-là comme ça.]"
Yáá yi fà'á lá.,"So-so, not too bad. [Lit. it is just there like that]"
"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. une chose de grave ne s'est pas produite.]",Mo' ghà' nù kà' tōm.
"So-so, not too bad. [Lit. something serious did not happen.]",Mo' ghà' nù kà' tōm.
Mo' ghà' nù kà' tōm.,"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. une chose de grave ne s'est pas produite.]"
Mo' ghà' nù kà' tōm.,"So-so, not too bad. [Lit. something serious did not happen.]"
"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. on tombe et se relève.]",Wen mantāmsiē māndó.
"So-so, not too bad. [Lit. we fall and get up.]",Wen mantāmsiē māndó.
Wen mantāmsiē māndó.,"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. on tombe et se relève.]"
Wen mantāmsiē māndó.,"So-so, not too bad. [Lit. we fall and get up.]"
"Je ne suis pas en santé, je suis malade.","N si ntèn ba, ngă màngóó."
"I am not healthy, I am sick.","N si ntèn ba, ngă màngóó."
"N si ntèn ba, ngă màngóó.","Je ne suis pas en santé, je suis malade."
"N si ntèn ba, ngă màngóó.","I am not healthy, I am sick."
Je te remercie.,Ngã pén õ.
I thank you.,Ngã pén õ.
Ngã pén õ.,Je te remercie.
Ngã pén õ.,I thank you.
Bonsoir mes frères et sœurs !,Pěn váh yēē è póómā ō ?
Good,Pěn váh yēē è póómā ō ?
Pěn váh yēē è póómā ō ?,Bonsoir mes frères et sœurs !
Pěn váh yēē è póómā ō ?,Good
Bonsoir ! [Réponse à pěn váh yẽẽ è ?],Pǎh váh yoh.
Good evening! [Answer to pěn váh yeĕ è?],Pǎh váh yoh.
Pǎh váh yoh.,Bonsoir ! [Réponse à pěn váh yẽẽ è ?]
Pǎh váh yoh.,Good evening! [Answer to pěn váh yeĕ è?]
Merci mon fils/merci ma fille.,Ngă pén ō men à.
Thank you my son/thank you my daughter.,Ngă pén ō men à.
Ngă pén ō men à.,Merci mon fils/merci ma fille.
Ngă pén ō men à.,Thank you my son/thank you my daughter.
Restez en paix.,Pèn si mà mbūànì (lá mbà).
Stay in peace.,Pèn si mà mbūànì (lá mbà).
Pèn si mà mbūànì (lá mbà).,Restez en paix.
Pèn si mà mbūànì (lá mbà).,Stay in peace.
Restez bien.,Pèn si pèpe' (lá mbà).
Stay well.,Pèn si pèpe' (lá mbà).
Pèn si pèpe' (lá mbà).,Restez bien.
Pèn si pèpe' (lá mbà).,Stay well.
Restons bien.,Páh á pèn si mbapā' lá mbà.
Let's stay well.,Páh á pèn si mbapā' lá mbà.
Páh á pèn si mbapā' lá mbà.,Restons bien.
Páh á pèn si mbapā' lá mbà.,Let's stay well.
Soyez les bienvenus ! [A plusieurs personnes],Pèn sá mbǝpā'/papē' !
Welcome! [To many people].,Pèn sá mbǝpā'/papē' !
Pèn sá mbǝpā'/papē' !,Soyez les bienvenus ! [A plusieurs personnes]
Pèn sá mbǝpā'/papē' !,Welcome! [To many people].
Vous avez fait bonne route ? [A plusieurs personnes],Tá pěn còh nnák papē' è/mbɔ̃pā' à?
Did you have a good journey? (To many,Tá pěn còh nnák papē' è/mbɔ̃pā' à?
Tá pěn còh nnák papē' è/mbɔ̃pā' à?,Vous avez fait bonne route ? [A plusieurs personnes]
Tá pěn còh nnák papē' è/mbɔ̃pā' à?,Did you have a good journey? (To many
