fe,fr,en
Mbɔ̃ɔ̃ lá!,Salut.,Hello.
Mbōō lá mēmmā ò!,Salut mon frère/ma sœur.,Hello my
Yáá mà lāhā ?,Comment ça va ?,How are you?
Yáá mànnák,Ça va bien.,I am fine.
"Yáá mànnák, ngă pén Ā.","Ça va bien, merci. Ça va bien, merci.","I am fine, thank"
Wò yō lá ō ?,Et toi ?,How about you?
"Ngă ntèn, ngă pén ō.","Je suis en santé, merci.","I am in good health, thank you."
Ŏ má wā?,Qui es-tu ?,Who are you?
Là'sì nã ò.,Présente-toi.,Introduce yourself.
Zēn zo má wā?,Comment tu t'appelles? Quel est ton nom?,What's your name?
Zen ză má...,Je m'appelle ... mon nom est...,My name is...
Zēn zǎ má Ngèēnzhwî.,Je m'appelle Ngèēnzhwî; mon nom est Ngèēnzhwî,My name is Ngèēnzhwî
Ô ghă ngù' sữa ? Õ ghăn ngănzā sī’ū ?,Quel âge as-tu ?,How
Ngăn ghăn ngănzā và'ū.,J'ai neuf ans.,I am nine years old.
"Wò yō, Ŏ ghŭ ngŭ'nzā sū’ū ?","Et toi, quel âge as-tu ?","And you,"
Ngã ghăn ngănzā ncò ti mà māmbúá.,J'ai 25 ans.,I am 25 years
Ndàà mŏ má ká?,Quel est ton éloge (nom honorifique) ?,What is your honorific name?
Wã béé è ?,Qui est cette personne ?,Who is this person?
Wã bá ā?,Qui est-ce ? C'est qui ?,Who is it?
Ă má wā?,Qui est-il/elle ?,Who is he/she?
Sēn à bá.,C'est mon ami(e).,He/She is my friend.
Ă má sẽn à.,Il/elle est mon ami(e).,He/she is my friend.
Zén sẽn ŏ má wā?,Comment s'appelle ton ami ?,What is your
Zēn zì má wā?,Comment s'appelle-t-il/elle ?,What's his/her
Zén sẽn ǎ má Yámānì.,Mon ami s'appelle Yámānì.,My friend's name is Yámānì.
Ŏ ghй nsen?,As-tu des amis ?,Do you have friends?
Ngă ghăn tà' sẽn.,J'ai un ami.,I have a friend.
Zēn zỉ má Mfìènkàk.,Il s'appelle Mfìènkàk.,His name is
Ngă ghǎ tà' sẽn yì mbâ'.,J'ai un ami garçon.,I have a male
Ngă ghǎ tà' sẽn yì mùnzhwiē.,J'ai une amie fille.,I have a
Ngã ghủ tà' sẽn vì mba' pí tà' sẽn vì mànzhwiē.,J'ai un ami garçon et une amie fille.,I have a male friend and a female friend.
Pí,Et,And
Pí wā ?,Avec qui ?,With whom?
Pí ká?,Avec quoi ?,With what?
Pí mù.,Avec moi.,With me.
Ă sà' pí wā?,Avec qui est-elle venue?,With whom did she
Ă sà' pí ká?,Avec quoi est-elle venue?,What did she come with?
Ă sà' pí mbàà.,Elle est venue avec la viande.,She came with
Nzén nsēn mbŏ má wā ?,Comment s'appellent tes amis ?,What
Nzẽn yàá má ...,Ils s'appellent ...,Their name are ...
Ŏ zhí zen zì ?,Connais-tu son nom?,Do you know his name?
"Ngǎ', ǹ ka' zhi zen ză bă.","Non, je ne connais pas son nom.","No, I don't know his name."
"Ngǎ' nā à, ză!","Non, pas du tout.",Not at all.
"nh, ngă zhí.","Oui, je sais.","Yes, I know."
"Ngǎ', ǹ kà' zhi bā.","Non, je ne sais pas.","No, I don't know."
"Ngă kwà' fà'á, ngă kwà má fjh.",Je crois que oui.,I think so.
"N ka' kwá' bā, ǹ ka' kwá' fà'á.",Je ne crois pas.,I don't think so.
Ngă ghǎ póómā kwà.,J'ai quatre frères et sœurs.,I have four siblings.
Ŏnká' nsen?,Aimes-tu les amis ?,Do you like friends?
N si' nkwé' nsen bā.,Je n'aime pas les amis.,I do not like friends.
"Mbà nèhẽ, mbà mēnsàà.","Même pas un peu, pas du tout.","Not even a little, not at all."
N ka' kwé' mbàà mbà nèhē.,Je n'aime du tout pas la viande.,I don't like meat at all.
Ŏ ghǎ sähndó ó?,As-tu un ordinateur ?,Do you have a
Ih ! Ngă ghǎ sähndó'.,Oui j'ai un ordinateur.,"Yes, I have a computer."
jh bâ! Ngă ghǎ yāā.,Bien sûr ! J'ai ça.,Of course! I have it.
Ná nzá ngǎ'è lè mbàwālá ghù mbúá ghй yāā.,"De nos jours, chacun devrait avoir ça.",These days everyone should have it.
Ŏ ghǎ lòlò ó ? Ŏ ghu nkhănken?,As-tu un téléphone?,Do you have a phone?
Пh! Ngă ghu nkhunkèn.,Oui j'ai un téléphone.,"Yes, I have a phone."
Yää si' mfá' səǝwú mbú á bā. Yāā sï' nkōsi á ná sə̀ɔ̃wú bā.,Je n'en ai pas besoin.,I don't need it.
Mã é ghŭ ndu' ú?,Ta mère a une voiture?,Does your mother have a car?
Ŏ kwě nŭ ŋwà'nì í?,Aimes-tu l'école ?,Do you like school?
È si' nkwé' làh ngén ŋwà'nì bā; báá wú ngá' tà'.,Je n'aime pas aller à l'école; cette histoire est très difficile.,I do not like to go to school; that thing is very difficult.
Ŏ ghй póómā á?,As-tu des frères et sœurs ?,Do you have
Ŏ ghǎ póómā pǎnzhwie sü'ü ?,Combien de sœurs as-tu?,How many sisters do you have?
Ŏ ghǎ póómā pōōmbā' sü'ū?,Combien de frères as-tu ?,How many brothers do you have?
Ngă ghu ta' mẽmmā yì mbâ'.,J'ai un frère.,I have a brother.
Zén mẽmmā ò mbá' má Ciencǝɔ̃.,Mon frère s'appelle Ciêncɔ̃ā.,My brother's name is Ciencǝā.
Ngã ghă póómã poombā púa mbát ngủ mẽmmã mànzhwe nshu'.,J'ai deux frères et une sœur.,I have two brothers and a sister.
Nǝá mba mbèé pěn?,Y a-t-il des animaux chez vous ?,Do you have animals at your home?
Pěn nnāk no á?,Vous élevez des animaux ?,Do you raise animals?
Pǎh nnāk ngāp.,Nous élevons des poules.,We raise chickens.
Pěn ghŭ mvua á?,Avez-vous un chien ?,Do you have a dog?
Ih ! Pǎh ghǎ tà' mvua.,Oui! Nous avons un chien.,Yes! We have a dog.
N ka' kwé' ngòòndōm (bā).,Je n'aime pas le chat.,I don't like
Ŏ mbōh mvua á ?,As-tu peur du chien ?,Are you afraid of the dog?
Ngă mbéé mvua.,Je déteste le chien.,I hate dogs.
Mã é má wā?,Qui est ta mère ?,Who is your mother?
Zén mã é má wā?,Comment s'appelle ta mère ?,What is your mother's name?
Zén mavě má Nkwèèmōō.,Ma mère s'appelle Kouemo.,My mother's name is Nkwèèmōō.
Zén nsìènsì Ŏ má wā?,Comment s'appelle ton enseignant?,
Zén nsìènsì ǎ má mbā' Ngă'ncǝǝ.,Mon enseignant s'appelle monsieur Ngatcheu.,My teacher is called Mr. Ngǎ'ncǝ5.
Zén nsìènsì ǎ má māvŏ Ndǝānkām.,Mon enseignante s'appelle madame Deukam.,My teacher is called Mrs. Ndǝānkām.
Ŏnsi mà ná yàā lā' ?,Dans quel pays vis-tu ?,In which country do you live?
Ŏ nsi mà ná yàā tūsè'?,Dans quelle ville habites-tu ?,In which city do you live?
Ngă nsi mà Ca'.,J'habite à Dschang.,I live in Dschang.
Ŏ má mên wā?,De qui es-tu l'enfant ?,Whose child are you?
Mba' é má wā?,Qui est ton père ?,Who is your father?
Zén mbā' é má wā?,Comment s'appelle ton père ?,What is your father's name?
Zén mba' ó má Zhìändǝǝ.,Mon père s'appelle Djiadeu.,My father's name is Zhìāndǝà.
Ŏ ghu mbǎ'nken?,Avez-vous une radio? (A une seule personne),Do you have a radio? (To one person)
Ŏngú nju' mbu'nken?,Écoutes-tu souvent la radio?,Do you often listen to the radio?
Ngă nju' mbu'nkèn nkwèè lie'.,J'écoute la radio chaque jour.,I listen to the radio every day.
È si' nju' mbu'nkèn bã.,Je n'écoute pas la radio.,I don't listen to the radio.
Ŏ ná yàã ndüàŋwà'nì?,En quelle classe es-tu ?,What grade are you in?
Ngă ná ndua kwǎ ná ntūmbhì wǎ'ŋwà'nì.,Je suis en quatrième année de l'école primaire.,I am in the fourth grade of primary school/ I am in class four.
È si' nját ngén ŋwà'nì bā.,Je ne vais plus à l'école.,I no longer go to school.
Ŏ láánduǎ á?,Es-tu marié ?,Are you married?
"Пh, ngǎ ya' lɔ̃ǝndüā.","Oui, je suis déjà marié.","Yes, I am already married."
N njǎt má nshwièwèn.,Je suis encore célibataire.,I am still single/bachelor.
Ngă tóm láándüā.,Je suis divorcé(e).,I am divorced.
N dàshwí mà mbèè.,J'ai grandi au village.,I grew up in the village.
Ngă má nsîmbèè.,Je suis un (e) villageois(e).,I am a villager.
Ŏ ingén hwiesì mà hã?,Où iras-tu pendant les vacances ?,Where will you go on vacation?
Ngă ingén hwiesi á Ndùālāɔ̃.,J'irai en vacances à Douala.,I will go to Douala on vacation.
Yàā ntie suà tá ó nkwé' ē?,Quel genre de jeu aimes-tu?,What kind of game do you like?
Yò wúpíéndǎh má ká?,Quel est ton passe-temps? Quel est ton hobby?,What is your hobby?
Yà wúmo má làh njū' yɔ̃nshì.,Mon passe-temps c'est écouter de la musique.,My hobby is listening to music.
Ngăn nkwé' làh nkhoándūā; ngă kwě' nkhăndúa nkhù.,J'aime courir; j'aime la course à pied.,I love to run; I like running/jogging.
N ka' ghú sǝǝ wúpíéndàh.,Je n'ai aucun loisir/hobby.,I have no leisure/hobby.
Ŏ kwě' làh nzenshì í?,Aimes-tu danser?,Do you like to dance?
Ŏ nká' làh nju' yɔ̃nshì í?,Aimes-tu écouter de la musique ?,Do you like listening to music?
Ŏ kwě' céhwū ú?,Aimes-tu la lecture?,Do you like reading?
Ŏ kǎ' náhnshì í?,Aimes-tu la nage/natation?,Do you like swimming?
Ŏ nkwé' lah nnähnshì í?,Aimes-tu nager?,Do you like to swim?
N ka' kwé náhnshì (bā).,Je n'aime pas la nage.,I do not like swimming.
"Пh! Ngǎ kwě náhnshì, tá' àì kà' zhi làh nnähnshì.","Oui, j'aime la nage, mais je ne sais pas nager.","Yes, I love to swim, but I cannot"
Ŏ kwĕ' suämfù'nã á?,Aimes-tu le sport?,Do you like sports?
Ngă kwě sùāmf 'nā tà mbúa là bã.,J'aime tellement le sport.,I like sports a lot.
Ŏ kwĕ' punkhūā á?,Aimes-tu les enfants?,Do you like children?
Ŏ kwĕ' ntìè' ē hwiesì í?,Aimes-tu les vacances ?,Do you like holidays?
"Ngǎ', ngă má mfa'ndiēkò.","Non, je suis un accro au travail.","No, I am a workaholic."
Yaa ntie yǎnshì tá ó nkwé' ē?,Quel genre de musique aimes-tu ?,What kind of music do you like?
Ngă kwě' Mânjwè'-Lāli.,J'aime le Madjong-Lali.,I like Madjong- Lali.
Yaa njɔ̃nshì tá ó nkwé' nshúá zìmó' ō ?,Quel est ton chanteur préféré ?,Who is your favorite singer?
Nkwé' nshúá (mò').,Préférer.,To prefer.
Yàā ntie wúza tá ó nkwé' nshúá zìmó' ō?,Quel est ton repas préféré ?,What is your favorite meal?
Yò túmfǎ' má ká?,Quelle est ta profession?,What is your profession?
Ngăn má ngànwàni nó zhínüsāhndó'.,Je suis étudiant informatique.,I am studying computer science.
Ngă má ta' ncâkngà'.,Je suis un chercheur.,I am a researcher.
Ŏ zhí làh ndǝɔ̃/nä' wúză á ?,Sais-tu cuisiner ?,Do you cook? Can you cook?
N si má mùnzhwie bā.,Je ne suis pas une femme.,I am not a
Yáá mbā wú pàh pǎnzhwiẽ bā māndāɔ̃ wúzā.,Chez nous ce sont les femmes qui cuisinent.,"In our home, it is women who cook."
Пh ngă zhí làh ndāɔ̃/nā' wúzā.,"Oui, je sais cuisiner.","Yes, I know how to cook."
Yàā ntie wúzā tá ó zhi làh ndɔ̃ɔ̃ 5 ?,Quel genre de plat sais-tu cuisiner ?,What kind of food do you cook?
Ŏ zhí làh mfák ndu' ú?,Sais-tu conduire ?,Can you drive?
Mba' é ghǎ ndu' ú?,Ton père a une voiture ?,Does your father have a car?
Mba' ō si' nkwé' ndu' bā.,Mon père n'aime pas la voiture.,My father doesn't like car.
"Mba' ó má ngà'mbōk, fà'á lá, à kà' ghú ndu' bā.","Mon père est un pauvre, par conséquent, il n'a pas la voiture.","My father is poor, therefore, he doesn't have a car."
Cwǎkhŭ mba mbèé pěn ?,Y a-t-il des souris chez vous?,Do you
Njăm ya' mängwá. Yáá ncāk má ń nshùà/ngènà!,"La nuit tombe déjà, il faut que je parte.","It is getting dark, I must go."
"Ncà' si wū bā mēmmā ò, ôhó.","Il n'y a pas de problème mon frère/ma sœur, au revoir.","No problem my brother/sister, goodbye."
Să' papē'/mbǝpā'! Sà' mbāā!,Bienvenue !,Welcome!
Ngă pén ō mẽmmā ò!,"Merci mon frère, ma sœur.","Thank you, my brother, my sister."
Sǎ' mbǝpā' lá mbā' ō !,Bienvenue mon père !,Welcome my father!
Sà' mbǝǝ lá mā!,Bienvenue maman!,Welcome mommy!
Ngă pén ō men à !,Merci mon enfant.,"Thank you, my child."
Pèn sá' pèpe'! Pèn sá' mbāā!,Soyez les bienvenus ! (A plusieurs personnes),Welcome! (To many people).
Nzá lee è ?,Bonjour !,Good morning!
Yáá lēē zi. Ă léé yi.,Bonjour ! (Réponse au bonjour),Good
Nzá lēẽ mbú ò? Yò nzá lēē è ?,Bonjour à toi!,Good morning to you!
Nzá lēē mbí pèn ? Yèè nzá lẽë è ?,Bonjour à tous !,"Good morning, everyone!"
Yáá lēē zi. ǎ léé yi. Yòh nzá lēē.,Bonjour ! (Réponse au bonjour quand plusieurs personnes répondent.),Good morning! (Answer to good morning when many people reply.)
Nzá lēē è nzhwie à ?,Bonjour ma femme.,Good morning my wife.
Yáá lēē zi ndū à.,Bonjour mon mari. (Réponse au bonjour. Une femme à son mari.),Good morning my husband. (Answer to good morning. A wife to her husband.)
Nzá lēē è póómā ō?,Bonjour mes frères et sœurs.,Good morning my brothers and sisters.
Nzá lēē è sen à ?,Bonjour mon ami.,Good morning my friend.
Mbɔ̃a lá!,Salut!,"Hello, hi!"
Mbǝǝ lá mẽmmā ò!,"Salut mon frère, ma sœur !","Hello, my brother, my sister!"
Pèn pāɔ̃ lá póómā!,Salut mes frères.,Hello my brothers.
Mbɔ̃ɔ̃ lá măvŏ ndāmà!,Salut ma grand-mère.,Hello my grandmother.
Ngă cà'sì ô lá !,Je te salue.,I greet you.
Mbà mà ngã cà'sì ī lá !,Je te salue aussi.,I greet you too.
Ngăn cà'sì ô lá ngà'mbhi à.,"Je te salue, mon aîné(e).","I greet you, my elder."
Ngă cà'sì yēē lá pàmă pă !,Je vous salue mes mamans!,"I salute you, my mothers!"
Cwè'/cǝ' má ká?,Quoi de neuf ? Litt. quelles sont les nouvelles ?,What's up?
Cwě'/cǎ' hwíé/shwíé,Rien de neuf. Tout est vieux; litt. les nouvelles se sont refroidies.,Nothing much.
Cwè'/cò' mbèé hwíé/shwíé.,Tout le monde va bien à la maison.,Nothing much with the family.
Mbă mbú ó yŏ lá mẽmmā ò.,"A toi aussi mon frère, ma sœur.",Same to you my brother/sister.
Mbè'mbè' mbūànzá mbú ó lá mẽmmā ò.,"Bonne soirée à toi mon frère, ma sœur.",Good evening to you my brother/sister.
Die papē'/mbǝpā'!,Bonne nuit !,Good night!
Ŏ váh yō ò? Mbè'mbè' mbūànzā lá.,Bonsoir!,Good evening!
Ŏ váh yō ò mā? Mbè'mbè' mbūànzā lá mā.,Bonsoir maman!,Good evening mother!
Yáá mà lähā ? Ŏ mà lähā?,Comment ça va ?,How are you?
"Yáá mànnák, ngă pén .","Ca va bien, merci.","I am fine, thank you."
"Ngă ntèn, ngă pén ō.","Je suis en santé, merci.",I am in good
Yǎā si mànnák bā.,Ça ne va pas.,I am not fine.
Nň má mó' mvàk.,Couci-couça [Litt. Les choses sont juste une certaine quantité].,I am so-so [Lit. things are just to some extent].
Pěn mà lāhā ?,Comment allez-vous ? (À plusieurs personnes),How are you doing? (To many people)
Punkuá mà lähā?,Comment vont les enfants ?,How are the children doing?
Pōō mbỏ mà lāhā?,Comment vont tes enfants?,How are your children?
Mba' ĕ pí mã é mà lähā?,Comment vont tes parents?,How are your parents?
Yáá yi fà'á lá.,"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. c'est aussi-là comme ça.]","So-so, not too bad. [Lit. it is just there like that]"
Mo' ghà' nù kà' tōm.,"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. une chose de grave ne s'est pas produite.]","So-so, not too bad. [Lit. something serious did not happen.]"
Wen mantāmsiē māndó.,"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. on tombe et se relève.]","So-so, not too bad. [Lit. we fall and get up.]"
"N si ntèn ba, ngă màngóó.","Je ne suis pas en santé, je suis malade.","I am not healthy, I am sick."
Ngã pén õ.,Je te remercie.,I thank you.
Pěn váh yēē è póómā ō ?,Bonsoir mes frères et sœurs !,Good
Pǎh váh yoh.,Bonsoir ! [Réponse à pěn váh yẽẽ è ?],Good evening! [Answer to pěn váh yeĕ è?]
Ngă pén ō men à.,Merci mon fils/merci ma fille.,Thank you my son/thank you my daughter.
Pèn si mà mbūànì (lá mbà).,Restez en paix.,Stay in peace.
Pèn si pèpe' (lá mbà).,Restez bien.,Stay well.
Páh á pèn si mbapā' lá mbà.,Restons bien.,Let's stay well.
Pèn sá mbǝpā'/papē' !,Soyez les bienvenus ! [A plusieurs personnes],Welcome! [To many people].
Tá pěn còh nnák papē' è/mbɔ̃pā' à?,Vous avez fait bonne route ? [A plusieurs personnes],Did you have a good journey? (To many
